mc_run,hosting_capacity
0,0.044
1,0.044
2,0.044
3,0.044
4,0.044
5,0.044
6,0.044
7,0.044
8,0.044
9,0.044
10,0.044
11,0.044
12,0.044
13,0.044
14,0.044
15,0.044
16,0.044
17,0.044
18,0.044
19,0.044
20,0.033
21,0.044
22,0.044
23,0.044
24,0.044
25,0.044
26,0.044
27,0.044
28,0.044
29,0.033
30,0.044
31,0.044
32,0.044
33,0.044
34,0.044
35,0.044
36,0.044
37,0.044
38,0.044
39,0.044
40,0.044
41,0.044
42,0.044
43,0.044
44,0.033
45,0.044
46,0.044
47,0.044
48,0.044
49,0.033
50,0.044
51,0.044
52,0.044
53,0.044
54,0.044
55,0.044
56,0.044
57,0.044
58,0.044
59,0.033
60,0.044
61,0.044
62,0.044
63,0.044
64,0.044
65,0.044
66,0.044
67,0.044
68,0.033
69,0.044
70,0.044
71,0.044
72,0.044
73,0.044
74,0.044
75,0.044
76,0.044
77,0.044
78,0.033
79,0.044
80,0.044
81,0.044
82,0.044
83,0.044
84,0.044
85,0.044
86,0.044
87,0.044
88,0.044
89,0.044
90,0.044
91,0.044
92,0.044
93,0.044
94,0.044
95,0.044
96,0.044
97,0.033
98,0.044
99,0.044
