penetration,installed_ev,installed_pv,violation,reason,location,value,search_step,mc_run
0.25,0.154,0,True,Transformer Overloading,0.0,130.1620799722982,2,11
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.98389515264716,3,11
0.0625,0.044,0,False,,,,4,11
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.92880584723892,5,11
0.078125,0.044,0,False,,,,6,11
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90000464145692,0,12
0.5,0.3080000000000001,0,True,Line Overloading,36.0,117.78423560666138,1,12
0.25,0.154,0,True,Transformer Overloading,0.0,129.47908869210252,2,12
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.48700708234293,3,12
0.0625,0.044,0,False,,,,4,12
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.71201814281574,5,12
0.078125,0.044,0,False,,,,6,12
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90004480316568,0,13
0.5,0.3080000000000001,0,True,Line Overloading,36.0,103.53464415791045,1,13
0.25,0.154,0,True,Transformer Overloading,0.0,129.51258895061423,2,13
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.69617260907197,3,13
0.0625,0.044,0,False,,,,4,13
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.73523434133698,5,13
0.078125,0.044,0,False,,,,6,13
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.9000013653245,0,14
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,172.00741819708,1,14
0.25,0.154,0,True,Transformer Overloading,0.0,129.36727793008086,2,14
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.37875726426465,3,14
0.0625,0.044,0,False,,,,4,14
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.5989327046624,5,14
0.078125,0.044,0,False,,,,6,14
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.9000958557662,0,15
0.5,0.3080000000000001,0,True,Line Overloading,36.0,104.03269649251969,1,15
0.25,0.154,0,True,Transformer Overloading,0.0,129.25699615325144,2,15
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.62178320472286,3,15
0.0625,0.044,0,False,,,,4,15
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.77970709169055,5,15
0.078125,0.044,0,False,,,,6,15
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89997887401935,0,16
0.5,0.3080000000000001,0,True,Line Overloading,36.0,110.02189792763464,1,16
0.25,0.154,0,True,Transformer Overloading,0.0,129.31076592752123,2,16
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.46388356368625,3,16
0.0625,0.044,0,False,,,,4,16
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.61984417575324,5,16
0.078125,0.044,0,False,,,,6,16
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90009364866268,0,17
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.43527386576548,1,17
0.25,0.154,0,True,Transformer Overloading,0.0,129.20788790675718,2,17
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.56843041577604,3,17
0.0625,0.044,0,False,,,,4,17
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.7845595762261,5,17
0.078125,0.044,0,False,,,,6,17
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90002003066692,0,18
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.7188016958428,1,18
0.25,0.154,0,True,Transformer Overloading,0.0,129.39669267883332,2,18
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.4330945726337,3,18
0.0625,0.044,0,False,,,,4,18
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.6088870486205,5,18
0.078125,0.044,0,False,,,,6,18
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90006069256359,0,19
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.97592541848556,1,19
0.25,0.154,0,True,Transformer Overloading,0.0,129.33227469797254,2,19
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.57876369229118,3,19
0.0625,0.044,0,False,,,,4,19
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.68651259732069,5,19
0.078125,0.044,0,False,,,,6,19
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.9000551513712,0,20
0.5,0.3080000000000001,0,True,Line Overloading,36.0,123.73213827220945,1,20
0.25,0.154,0,True,Transformer Overloading,0.0,129.84221792789924,2,20
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.92850535213461,3,20
0.0625,0.044,0,True,Transformer Overloading,0.0,100.00095983437676,4,20
0.03125,0.022,0,False,,,,5,20
0.046875,0.033,0,False,,,,6,20
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.9000593273098,0,21
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.95149286518412,1,21
0.25,0.154,0,True,Transformer Overloading,0.0,129.44389049750893,2,21
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.67103313657734,3,21
0.0625,0.044,0,False,,,,4,21
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.6950636815654,5,21
0.078125,0.044,0,False,,,,6,21
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.9000401380334,0,22
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.51147424286506,1,22
0.25,0.154,0,True,Transformer Overloading,0.0,129.18302124387105,2,22
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.6780864945667,3,22
0.0625,0.044,0,False,,,,4,22
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.79919901600056,5,22
0.078125,0.044,0,False,,,,6,22
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90001410497982,0,23
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.80366193864955,1,23
0.25,0.154,0,True,Transformer Overloading,0.0,129.33645665049588,2,23
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.49608189655748,3,23
0.0625,0.044,0,False,,,,4,23
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.56487841821426,5,23
0.078125,0.044,0,False,,,,6,23
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90006685386237,0,24
0.5,0.3080000000000001,0,True,Line Overloading,36.0,116.09224380006941,1,24
0.25,0.154,0,True,Transformer Overloading,0.0,129.58945015029443,2,24
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.81655602156872,3,24
0.0625,0.044,0,False,,,,4,24
